employee_id,genre,statut_marital,departement,poste,heure_supplementaires,domaine_etude,ayant_enfants,frequence_deplacement,age,revenu_mensuel,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,ratio_poste_entreprise,evolution_evaluation,satisfaction_globale,salaire_par_experience,duree_moyenne_poste,attrition_actual,dataset_type
362,M,Divorcé(e),Commercial,Cadre Commercial,Oui,Marketing,Y,Occasionnel,38,8740,0,80,9,8,7,3,2,3,3,2,3,3,0.14,2,2,1,10,4,2,7,0.7777777777777778,1,2.75,874.0,9.0,0,train
363,F,Marié(e),Consulting,Directeur Technique,Oui,Transformation Digitale,Y,Frequent,42,13191,3,80,20,1,0,1,3,3,1,3,3,3,0.17,0,6,1,26,5,0,0,0.0,0,2.0,628.1428571428571,5.0,0,train
364,F,Marié(e),Consulting,Consultant,Oui,Transformation Digitale,Y,Occasionnel,59,2670,4,80,12,1,0,3,4,1,1,1,2,4,0.2,3,3,1,3,3,0,0,0.0,0,1.75,205.3846153846154,2.4,0,train
365,M,Marié(e),Consulting,Senior Manager,Non,Transformation Digitale,Y,Occasionnel,42,17665,0,80,23,22,6,4,3,4,1,4,3,3,0.17,1,3,1,2,2,13,7,0.2608695652173913,0,3.0,736.0416666666666,23.0,0,train
366,M,Divorcé(e),Consulting,Consultant,Non,Transformation Digitale,Y,Occasionnel,26,2377,1,80,1,1,1,1,3,1,3,3,2,4,0.2,1,0,1,21,3,0,0,0.5,1,2.25,1188.5,0.5,1,train
367,M,Célibataire,Consulting,Tech Lead,Oui,Transformation Digitale,Y,Occasionnel,41,6032,6,80,8,5,4,4,2,2,2,4,3,3,0.15,0,3,1,6,3,1,2,0.6666666666666666,1,3.25,670.2222222222222,1.1428571428571428,0,train
368,M,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Y,Occasionnel,35,4230,0,80,6,5,4,4,1,1,3,3,3,3,0.15,0,2,1,22,3,4,3,0.6666666666666666,2,3.25,604.2857142857143,6.0,0,train
369,M,Marié(e),Consulting,Manager,Non,Transformation Digitale,Y,Occasionnel,57,6755,2,80,15,3,2,4,3,2,3,3,3,3,0.11,0,2,1,1,4,1,2,0.5,0,3.25,422.1875,5.0,0,train
370,F,Célibataire,Consulting,Manager,Non,Transformation Digitale,Y,Occasionnel,31,6812,1,80,10,10,9,3,2,2,1,2,3,3,0.19,0,2,1,24,3,1,8,0.8181818181818182,1,2.25,619.2727272727273,5.0,0,train
371,F,Marié(e),Ressources Humaines,Senior Manager,Non,Ressources Humaines,Y,Aucun,59,18844,9,80,30,3,2,3,2,5,4,4,3,4,0.21,1,3,1,2,4,2,2,0.5,2,3.5,607.8709677419355,3.0,0,train
372,M,Divorcé(e),Consulting,Manager,Non,Infra & Cloud,Y,Occasionnel,34,8500,0,80,10,9,7,4,3,3,4,4,2,3,0.11,1,0,1,9,3,1,6,0.7,0,3.5,772.7272727272727,10.0,0,train
373,M,Marié(e),Consulting,Consultant,Oui,Transformation Digitale,Y,Occasionnel,40,2741,8,80,15,7,2,3,3,2,4,3,4,3,0.15,1,2,1,19,2,3,7,0.25,0,3.5,171.3125,1.6666666666666667,0,train
374,M,Célibataire,Consulting,Manager,Non,Infra & Cloud,Y,Frequent,34,7756,0,80,7,6,2,1,3,2,4,3,2,3,0.17,0,1,1,3,1,0,4,0.2857142857142857,0,2.5,969.5,7.0,0,train
375,M,Divorcé(e),Consulting,Directeur Technique,Non,Transformation Digitale,Y,Frequent,41,19419,2,80,21,18,16,1,3,5,3,2,4,3,0.17,1,2,1,9,3,0,11,0.8421052631578947,0,2.5,882.6818181818181,7.0,0,train
376,M,Célibataire,Commercial,Cadre Commercial,Oui,Entrepreunariat,Y,Occasionnel,35,9582,0,80,9,8,7,4,3,3,1,1,3,4,0.22,0,2,1,4,3,4,7,0.7777777777777778,1,2.25,958.2,9.0,1,train
377,F,Divorcé(e),Consulting,Senior Manager,Non,Infra & Cloud,Y,Occasionnel,35,11996,7,80,10,7,7,2,4,3,2,2,2,3,0.18,1,6,1,22,3,6,2,0.875,-1,2.0,1090.5454545454545,1.25,0,train
378,F,Marié(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Occasionnel,35,4601,1,80,5,5,2,3,3,2,3,2,3,3,0.16,0,3,1,18,3,1,0,0.3333333333333333,0,2.75,766.8333333333334,2.5,0,train
379,M,Divorcé(e),Consulting,Manager,Non,Infra & Cloud,Y,Aucun,25,4000,1,80,6,6,3,2,4,2,1,4,3,3,0.12,2,2,1,5,2,1,5,0.42857142857142855,-1,2.5,571.4285714285714,3.0,0,train
380,M,Marié(e),Consulting,Manager,Non,Entrepreunariat,Y,Occasionnel,49,6651,2,80,20,3,2,1,3,2,3,2,2,3,0.14,1,0,1,5,4,1,2,0.5,0,2.0,316.7142857142857,6.666666666666667,0,train
381,F,Marié(e),Commercial,Cadre Commercial,Oui,Entrepreunariat,Y,Occasionnel,36,5673,1,80,10,10,9,2,2,2,3,1,3,3,0.13,1,4,1,10,4,1,7,0.8181818181818182,1,2.25,515.7272727272727,5.0,0,train
382,M,Célibataire,Consulting,Consultant,Oui,Entrepreunariat,Y,Occasionnel,26,2340,1,80,1,1,0,3,1,1,4,2,1,3,0.18,0,3,1,24,3,0,0,0.0,2,2.5,1170.0,0.5,1,train
383,M,Célibataire,Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Occasionnel,58,13872,0,80,38,37,10,4,3,4,3,3,2,3,0.13,0,1,1,10,4,1,8,0.2631578947368421,0,3.0,355.6923076923077,38.0,0,train
384,F,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Frequent,27,9981,1,80,7,7,7,4,3,2,3,4,3,3,0.14,0,2,1,20,3,0,7,0.875,0,3.5,1247.625,3.5,0,train
385,F,Marié(e),Consulting,Assistant de Direction,Oui,Transformation Digitale,Y,Occasionnel,42,2372,6,80,18,1,0,2,4,2,2,4,3,3,0.16,0,2,1,7,4,0,0,0.0,-1,2.75,124.84210526315789,2.5714285714285716,0,train
386,M,Marié(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Occasionnel,29,6644,2,80,10,0,0,1,2,2,2,2,3,3,0.19,2,2,1,2,3,0,0,0.0,1,2.0,604.0,3.3333333333333335,0,train
387,F,Marié(e),Consulting,Tech Lead,Non,Infra & Cloud,Y,Occasionnel,27,4227,0,80,4,3,2,1,3,2,4,2,3,3,0.18,1,2,1,2,4,2,2,0.5,0,2.5,845.4,4.0,0,train
388,M,Marié(e),Consulting,Manager,Non,Transformation Digitale,Y,Occasionnel,42,5538,5,80,10,0,0,2,4,2,1,3,2,3,0.18,2,2,1,13,3,0,0,0.0,-1,2.0,503.45454545454544,1.6666666666666667,0,train
389,M,Célibataire,Commercial,Représentant Commercial,Non,Marketing,Y,Occasionnel,30,2983,0,80,4,3,2,4,3,1,2,1,3,3,0.14,0,3,1,7,1,1,2,0.5,0,2.5,596.6,4.0,0,train
390,F,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Occasionnel,20,2836,1,80,1,1,0,4,2,1,2,4,4,3,0.13,0,0,1,1,3,0,0,0.0,1,3.5,1418.0,0.5,0,train
391,M,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Y,Frequent,32,3068,0,80,8,7,7,4,3,1,4,3,2,3,0.13,0,2,1,2,2,3,6,0.875,0,3.25,340.8888888888889,8.0,0,train
392,F,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Y,Frequent,21,2625,1,80,2,2,2,1,2,1,3,3,1,4,0.2,0,2,1,10,2,2,2,0.6666666666666666,2,2.0,875.0,1.0,1,train
393,M,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Frequent,27,5071,3,80,8,6,2,4,1,2,4,2,3,4,0.2,0,3,1,2,1,0,0,0.2857142857142857,3,3.25,563.4444444444445,2.0,0,train
394,M,Célibataire,Commercial,Représentant Commercial,Oui,Marketing,Y,Frequent,18,1878,1,80,0,0,0,2,3,1,2,4,3,3,0.14,0,3,1,5,3,0,0,0.0,0,2.75,1878.0,0.0,1,train
395,M,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Y,Occasionnel,18,1420,1,80,0,0,0,3,3,1,3,3,3,3,0.13,0,2,1,3,3,0,0,0.0,0,3.0,1420.0,0.0,1,train
396,F,Divorcé(e),Commercial,Cadre Commercial,Oui,Transformation Digitale,Y,Occasionnel,30,5209,1,80,11,11,8,3,2,2,2,2,2,3,0.12,3,4,1,4,2,2,7,0.6666666666666666,1,2.25,434.0833333333333,5.5,0,train
397,M,Divorcé(e),Consulting,Consultant,Non,Infra & Cloud,Y,Occasionnel,41,2289,1,80,5,5,3,3,3,1,1,2,3,4,0.2,2,2,1,9,4,0,4,0.5,1,2.25,381.5,2.5,0,train
398,M,Marié(e),Commercial,Représentant Commercial,Non,Entrepreunariat,Y,Frequent,28,2909,3,80,5,3,2,1,3,1,3,4,4,3,0.15,1,3,1,1,3,1,2,0.5,0,3.0,484.8333333333333,1.25,1,train
399,M,Marié(e),Consulting,Consultant,Oui,Infra & Cloud,Y,Occasionnel,30,5126,1,80,10,10,8,4,2,2,4,3,2,3,0.12,2,1,1,1,1,3,0,0.7272727272727273,1,3.25,466.0,5.0,0,train
400,F,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Y,Occasionnel,21,1416,1,80,1,1,0,3,2,1,1,1,2,3,0.13,0,6,1,10,3,1,0,0.0,1,1.75,708.0,0.5,1,train
401,M,Divorcé(e),Consulting,Consultant,Non,Autre,Y,Occasionnel,36,4834,7,80,9,1,0,1,3,2,3,2,2,3,0.14,1,3,1,15,3,0,0,0.0,0,2.0,483.4,1.125,1,train
402,F,Célibataire,Commercial,Cadre Commercial,Non,Marketing,Y,Frequent,32,8998,1,80,9,9,8,2,3,3,4,4,3,3,0.14,0,2,1,8,3,3,7,0.8,0,3.25,899.8,4.5,0,train
403,M,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Frequent,38,2684,0,80,3,2,1,3,3,1,3,2,2,3,0.17,1,0,1,10,1,0,2,0.3333333333333333,0,2.5,671.0,3.0,0,train
404,F,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Y,Occasionnel,32,10422,1,80,14,14,10,3,3,3,4,3,3,3,0.19,2,3,1,1,4,5,7,0.6666666666666666,0,3.25,694.8,7.0,0,train
405,F,Célibataire,Consulting,Consultant,Oui,Infra & Cloud,Y,Frequent,27,2379,0,80,6,5,4,4,3,1,4,3,2,3,0.14,0,3,1,5,2,0,2,0.6666666666666666,0,3.25,339.85714285714283,6.0,0,train
406,F,Divorcé(e),Commercial,Cadre Commercial,Oui,Marketing,Y,Occasionnel,29,8268,1,80,7,7,7,4,2,2,2,1,3,3,0.14,2,2,1,10,1,1,7,0.875,1,2.5,1033.5,3.5,0,train
407,M,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Occasionnel,29,2703,0,80,6,5,4,3,3,1,2,4,3,4,0.23,1,3,1,2,3,0,4,0.6666666666666666,1,3.0,386.14285714285717,6.0,0,train
408,M,Marié(e),Consulting,Directeur Technique,Non,Transformation Digitale,Y,Occasionnel,33,11691,0,80,14,13,9,3,3,3,3,4,4,3,0.11,0,3,1,7,3,3,7,0.6428571428571429,0,3.5,779.4,14.0,0,train
409,M,Marié(e),Commercial,Senior Manager,Oui,Marketing,Y,Occasionnel,50,19331,4,80,27,1,0,3,3,5,3,3,3,3,0.16,1,2,1,9,3,0,0,0.0,0,3.0,690.3928571428571,5.4,0,train
410,M,Marié(e),Consulting,Tech Lead,Oui,Transformation Digitale,Y,Occasionnel,32,6162,1,80,9,9,8,1,3,2,4,2,3,4,0.22,1,3,1,1,3,7,8,0.8,1,2.5,616.2,4.5,0,train
411,M,Marié(e),Consulting,Manager,Oui,Infra & Cloud,Y,Occasionnel,36,8321,7,80,15,12,8,4,3,3,1,4,3,3,0.13,1,1,1,10,3,5,7,0.6153846153846154,0,3.0,520.0625,1.875,0,train
412,M,Marié(e),Consulting,Manager,Non,Infra & Cloud,Y,Occasionnel,36,5347,6,80,10,3,2,1,3,2,3,2,2,3,0.14,2,2,1,26,4,0,2,0.5,0,2.0,486.09090909090907,1.4285714285714286,0,train
413,F,Divorcé(e),Commercial,Cadre Commercial,Oui,Transformation Digitale,Y,Occasionnel,38,5605,1,80,8,8,0,1,4,2,1,3,3,4,0.24,1,3,1,7,2,7,7,0.0,0,2.0,622.7777777777778,4.0,0,train
414,M,Célibataire,Commercial,Cadre Commercial,Oui,Marketing,Y,Occasionnel,55,13695,6,80,24,19,7,1,4,4,3,3,2,3,0.17,0,2,1,13,4,3,8,0.35,-1,2.25,547.8,3.4285714285714284,1,train
415,F,Divorcé(e),Consulting,Assistant de Direction,Non,Entrepreunariat,Y,Occasionnel,30,3204,5,80,8,3,2,4,3,1,1,4,3,3,0.14,1,3,1,5,3,2,2,0.5,0,3.0,356.0,1.3333333333333333,0,train
416,M,Marié(e),Consulting,Senior Manager,Non,Transformation Digitale,Y,Aucun,45,16792,9,80,22,20,8,1,2,4,4,4,3,4,0.23,1,1,1,2,2,11,8,0.38095238095238093,2,3.0,730.0869565217391,2.2,0,train
417,F,Divorcé(e),Consulting,Consultant,Non,Infra & Cloud,Y,Occasionnel,37,3034,1,80,18,18,7,4,3,1,1,3,2,3,0.12,1,2,1,14,3,12,17,0.3684210526315789,0,2.5,159.68421052631578,9.0,0,train
418,M,Divorcé(e),Consulting,Tech Lead,Non,Transformation Digitale,Y,Occasionnel,51,5482,5,80,13,4,1,4,1,2,2,4,3,3,0.18,1,3,1,2,3,1,2,0.2,2,3.25,391.57142857142856,2.1666666666666665,0,train
419,M,Divorcé(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,30,4115,8,80,8,4,3,3,3,2,1,3,3,3,0.19,3,3,1,29,4,0,3,0.6,0,2.5,457.22222222222223,0.8888888888888888,0,train
420,F,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Y,Occasionnel,29,7639,1,80,10,10,4,2,3,3,4,4,2,4,0.22,3,3,1,27,3,1,9,0.36363636363636365,1,3.0,694.4545454545455,5.0,1,train
421,M,Marié(e),Commercial,Cadre Commercial,Oui,Marketing,Y,Occasionnel,32,4078,0,80,4,3,2,3,3,2,2,1,2,3,0.13,3,3,1,2,1,1,2,0.5,0,2.0,815.6,4.0,0,train
422,M,Divorcé(e),Consulting,Assistant de Direction,Non,Autre,Y,Occasionnel,39,3902,8,80,7,2,2,4,3,2,4,2,3,3,0.14,3,2,1,19,4,2,2,0.6666666666666666,0,3.25,487.75,0.7777777777777778,0,train
423,M,Marié(e),Consulting,Assistant de Direction,Oui,Infra & Cloud,Y,Occasionnel,37,2996,7,80,8,6,4,3,3,1,3,4,3,3,0.15,0,2,1,4,1,1,3,0.5714285714285714,0,3.25,332.8888888888889,1.0,0,train
424,M,Célibataire,Consulting,Assistant de Direction,Non,Autre,Y,Occasionnel,36,4678,2,80,8,6,2,2,3,1,4,3,3,3,0.18,0,6,1,7,4,0,1,0.2857142857142857,0,3.0,519.7777777777778,2.6666666666666665,0,train
425,F,Marié(e),Consulting,Directeur Technique,Non,Entrepreunariat,Y,Occasionnel,38,13582,1,80,15,15,12,4,3,3,1,2,3,3,0.13,1,3,1,1,3,5,11,0.75,0,2.5,848.875,7.5,0,train
426,M,Divorcé(e),Commercial,Cadre Commercial,Non,Marketing,Y,Occasionnel,48,5486,4,80,15,2,2,3,3,2,1,1,3,3,0.11,3,3,1,7,3,2,2,0.6666666666666666,0,2.0,342.875,3.0,0,train
427,F,Divorcé(e),Consulting,Consultant,Non,Infra & Cloud,Y,Frequent,26,4364,3,80,5,2,2,1,1,1,4,1,3,3,0.14,1,2,1,1,2,2,0,0.6666666666666666,2,2.25,727.3333333333334,1.25,0,train
428,F,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Occasionnel,33,2756,1,80,8,8,7,4,3,1,2,4,3,3,0.13,1,5,1,14,3,1,6,0.7777777777777778,0,3.25,306.22222222222223,4.0,0,train
429,M,Divorcé(e),Consulting,Manager,Oui,Infra & Cloud,Y,Occasionnel,57,9439,3,80,12,5,3,3,4,3,4,2,1,3,0.16,1,2,1,24,2,1,4,0.5,-1,2.5,726.0769230769231,3.0,0,train
430,F,Célibataire,Consulting,Consultant,Non,Transformation Digitale,Y,Frequent,38,2440,1,80,4,4,3,4,2,1,2,2,3,4,0.22,0,3,1,2,3,3,3,0.6,2,2.75,488.0,2.0,0,train
431,F,Marié(e),Ressources Humaines,Senior Manager,Non,Ressources Humaines,Y,Occasionnel,42,16799,0,80,21,20,7,3,3,4,1,3,3,3,0.14,1,5,1,10,3,0,9,0.3333333333333333,0,2.5,763.5909090909091,21.0,0,train
432,M,Marié(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Frequent,36,9699,4,80,16,13,9,1,2,3,4,1,3,3,0.11,1,2,1,3,4,1,12,0.6428571428571429,1,2.25,570.5294117647059,3.2,0,train
433,M,Divorcé(e),Commercial,Senior Manager,Oui,Infra & Cloud,Y,Frequent,51,19847,4,80,31,29,10,4,3,5,2,1,2,4,0.24,1,5,1,9,3,11,10,0.3333333333333333,1,2.25,620.21875,6.2,0,train
434,M,Divorcé(e),Consulting,Consultant,Non,Infra & Cloud,Y,Frequent,45,5210,1,80,24,24,9,1,3,3,1,1,3,3,0.18,1,2,1,7,3,9,11,0.36,0,1.5,208.4,12.0,0,train
435,M,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Occasionnel,40,2809,2,80,8,2,2,3,2,1,3,4,3,3,0.14,0,2,1,2,4,2,2,0.6666666666666666,1,3.25,312.1111111111111,2.6666666666666665,0,train
436,F,Célibataire,Commercial,Cadre Commercial,Non,Marketing,Y,Occasionnel,43,5346,8,80,7,4,3,1,1,2,3,2,2,3,0.13,0,2,1,9,3,1,3,0.6,2,2.0,668.25,0.7777777777777778,1,train
437,F,Marié(e),Consulting,Consultant,Oui,Transformation Digitale,Y,Occasionnel,35,4014,3,80,4,2,2,3,3,1,1,3,3,3,0.15,1,3,1,23,4,2,2,0.6666666666666666,0,2.5,802.8,1.0,0,train
438,M,Célibataire,Consulting,Assistant de Direction,Oui,Infra & Cloud,Y,Occasionnel,26,2875,1,80,8,8,5,3,3,1,4,2,2,4,0.2,0,2,1,4,2,2,2,0.5555555555555556,1,2.75,319.44444444444446,4.0,0,train
439,F,Célibataire,Consulting,Tech Lead,Non,Entrepreunariat,Y,Frequent,31,5238,2,80,9,5,4,4,3,2,4,4,2,4,0.2,0,3,1,24,1,1,4,0.6666666666666666,1,3.5,523.8,3.0,0,train
440,F,Marié(e),Consulting,Directeur Technique,Oui,Infra & Cloud,Y,Occasionnel,37,13744,1,80,16,16,11,3,4,3,4,1,3,4,0.25,1,2,1,10,3,6,8,0.6470588235294118,0,2.75,808.4705882352941,8.0,0,train
441,F,Célibataire,Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Occasionnel,34,6125,1,80,10,10,8,3,3,2,1,4,4,3,0.12,0,6,1,15,2,9,6,0.7272727272727273,0,3.0,556.8181818181819,5.0,0,train
442,M,Marié(e),Consulting,Directeur Technique,Non,Infra & Cloud,Y,Occasionnel,53,14814,3,80,32,5,1,3,4,4,3,3,3,3,0.19,0,3,1,7,3,1,3,0.16666666666666666,-1,3.0,448.90909090909093,8.0,0,train
443,M,Célibataire,Commercial,Senior Manager,Non,Transformation Digitale,Y,Occasionnel,40,19833,1,80,21,21,8,2,3,5,2,2,2,3,0.14,0,3,1,7,4,12,8,0.36363636363636365,0,2.0,901.5,10.5,0,train
444,M,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Frequent,47,12936,7,80,25,23,5,3,1,4,3,3,1,3,0.11,0,3,1,9,3,14,10,0.20833333333333334,2,2.5,497.53846153846155,3.125,1,train
445,F,Marié(e),Commercial,Cadre Commercial,Oui,Entrepreunariat,Y,Aucun,30,4736,7,80,4,2,2,4,3,2,3,2,4,3,0.12,1,2,1,25,2,2,2,0.6666666666666666,0,3.25,947.2,0.5,0,train
446,M,Marié(e),Commercial,Représentant Commercial,Non,Infra & Cloud,Y,Occasionnel,31,2329,3,80,13,7,7,2,2,1,3,2,4,3,0.15,0,2,1,7,4,5,2,0.875,1,2.75,166.35714285714286,3.25,0,train
447,M,Marié(e),Commercial,Senior Manager,Non,Marketing,Y,Occasionnel,52,16856,1,80,34,34,6,3,2,4,1,1,4,3,0.11,0,3,1,3,4,1,16,0.17142857142857143,1,2.25,481.6,17.0,0,train
448,F,Divorcé(e),Consulting,Tech Lead,Non,Infra & Cloud,Y,Frequent,26,6397,1,80,6,6,5,3,3,2,2,1,1,4,0.2,1,6,1,1,3,1,4,0.7142857142857143,1,1.75,913.8571428571429,3.0,0,train
449,M,Marié(e),Ressources Humaines,Ressources Humaines,Oui,Ressources Humaines,Y,Frequent,44,5743,4,80,14,10,7,1,3,2,4,3,3,3,0.11,0,3,1,1,5,0,2,0.6363636363636364,0,2.75,382.8666666666667,2.8,0,train
450,M,Divorcé(e),Commercial,Cadre Commercial,Oui,Marketing,Y,Occasionnel,45,10761,4,80,18,5,4,4,3,3,1,3,3,3,0.12,1,2,1,9,3,0,2,0.6666666666666666,0,2.75,566.3684210526316,3.6,0,train
451,F,Célibataire,Consulting,Assistant de Direction,Oui,Transformation Digitale,Y,Occasionnel,20,2600,1,80,1,1,0,4,2,1,1,1,3,3,0.15,0,2,1,11,3,0,0,0.0,1,2.25,1300.0,0.5,1,train
452,M,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Occasionnel,28,2713,1,80,5,5,2,3,3,1,4,3,1,3,0.11,1,2,1,21,3,0,2,0.3333333333333333,0,2.75,452.1666666666667,2.5,0,train
453,M,Marié(e),Commercial,Cadre Commercial,Oui,Infra & Cloud,Y,Occasionnel,39,6120,3,80,8,5,4,1,2,2,4,4,4,3,0.12,2,2,1,21,4,1,4,0.6666666666666666,1,3.25,680.0,2.0,0,train
454,M,Marié(e),Consulting,Tech Lead,Non,Infra & Cloud,Y,Occasionnel,37,5768,3,80,9,4,3,3,3,2,3,1,2,3,0.17,3,2,1,19,3,0,2,0.6,0,2.25,576.8,2.25,0,train
455,F,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,31,5476,1,80,10,10,0,1,3,2,4,1,3,3,0.11,2,2,1,5,4,0,2,0.0,0,2.25,497.8181818181818,5.0,0,train
456,F,Célibataire,Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Occasionnel,34,4381,1,80,6,6,5,3,2,1,1,3,3,3,0.11,0,3,1,2,4,1,3,0.7142857142857143,1,2.5,625.8571428571429,3.0,0,train
457,F,Marié(e),Consulting,Tech Lead,Non,Infra & Cloud,Y,Occasionnel,37,6447,6,80,8,6,5,2,3,2,2,2,2,3,0.12,1,2,1,1,4,4,3,0.7142857142857143,0,2.0,716.3333333333334,1.1428571428571428,0,train
458,M,Célibataire,Consulting,Assistant de Direction,Non,Entrepreunariat,Y,Occasionnel,28,2080,2,80,5,3,2,4,3,1,1,2,2,3,0.11,0,2,1,1,3,1,2,0.5,0,2.25,346.6666666666667,1.6666666666666667,0,train
459,M,Marié(e),Consulting,Assistant de Direction,Oui,Entrepreunariat,Y,Occasionnel,31,4821,0,80,6,5,2,3,3,1,4,3,3,3,0.12,1,4,1,5,4,0,3,0.3333333333333333,0,3.25,688.7142857142857,6.0,0,train
460,F,Marié(e),Consulting,Directeur Technique,Oui,Infra & Cloud,Y,Occasionnel,50,16880,4,80,25,3,2,4,3,4,1,2,3,3,0.11,0,2,1,28,3,1,2,0.5,0,2.5,649.2307692307693,5.0,0,train
461,M,Marié(e),Consulting,Assistant de Direction,Oui,Entrepreunariat,Y,Frequent,43,2437,9,80,6,1,0,3,2,1,3,4,3,3,0.16,1,4,1,17,3,0,0,0.0,1,3.25,348.14285714285717,0.6,1,train
462,M,Divorcé(e),Commercial,Représentant Commercial,Non,Marketing,Y,Occasionnel,27,3041,0,80,5,4,3,3,3,1,1,2,3,3,0.11,1,3,1,2,1,0,2,0.6,0,2.25,506.8333333333333,5.0,1,train
463,F,Divorcé(e),Commercial,Cadre Commercial,Oui,Infra & Cloud,Y,Occasionnel,45,5006,4,80,9,5,4,3,3,2,1,1,4,3,0.11,1,3,1,4,2,0,3,0.6666666666666666,0,2.25,500.6,1.8,0,train
464,F,Célibataire,Ressources Humaines,Senior Manager,Oui,Ressources Humaines,Y,Aucun,54,17328,2,80,23,5,3,4,4,4,4,3,3,3,0.12,0,3,1,26,3,4,4,0.5,-1,3.5,722.0,7.666666666666667,0,train
465,M,Marié(e),Consulting,Consultant,Oui,Transformation Digitale,Y,Occasionnel,35,2660,7,80,5,2,2,4,3,1,3,3,3,3,0.11,1,3,1,11,4,2,2,0.6666666666666666,0,3.25,443.3333333333333,0.625,0,train
466,M,Divorcé(e),Commercial,Cadre Commercial,Non,Autre,Y,Occasionnel,30,7264,5,80,10,8,4,3,3,3,3,1,4,3,0.11,1,2,1,8,2,7,7,0.4444444444444444,0,2.75,660.3636363636364,1.6666666666666667,0,train
467,F,Marié(e),Consulting,Assistant de Direction,Oui,Autre,Y,Aucun,22,2814,1,80,4,4,2,2,2,1,3,2,2,3,0.14,0,2,1,26,2,1,3,0.4,1,2.25,562.8,2.0,0,train
468,M,Marié(e),Ressources Humaines,Senior Manager,Oui,Ressources Humaines,Y,Occasionnel,55,19636,4,80,35,10,9,3,4,5,2,1,3,3,0.18,1,0,1,26,4,1,4,0.8181818181818182,-1,2.25,545.4444444444445,7.0,0,train
469,F,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Occasionnel,54,6854,4,80,14,7,1,4,3,2,4,2,2,3,0.15,1,2,1,7,4,1,7,0.125,0,3.0,456.93333333333334,2.8,0,train
470,M,Marié(e),Consulting,Tech Lead,Non,Transformation Digitale,Y,Aucun,31,4345,0,80,6,5,4,3,1,2,3,4,3,3,0.12,1,2,1,1,4,1,4,0.6666666666666666,2,3.25,620.7142857142857,6.0,0,train
471,F,Célibataire,Commercial,Représentant Commercial,Non,Transformation Digitale,Y,Occasionnel,20,2044,1,80,2,2,2,3,2,1,3,4,2,3,0.13,0,3,1,2,3,0,2,0.6666666666666666,1,3.0,681.3333333333334,1.0,1,train
472,M,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Frequent,49,5130,1,80,10,10,7,3,2,2,2,4,3,4,0.23,1,3,1,8,1,1,7,0.6363636363636364,2,3.0,466.3636363636364,5.0,0,train
473,F,Marié(e),Consulting,Assistant de Direction,Oui,Transformation Digitale,Y,Aucun,37,4449,3,80,15,13,11,2,3,2,3,1,3,3,0.15,2,2,1,25,5,10,7,0.7857142857142857,0,2.25,278.0625,3.75,0,train
474,M,Divorcé(e),Consulting,Consultant,Oui,Autre,Y,Occasionnel,25,3977,6,80,7,2,2,4,3,1,3,3,2,3,0.19,1,2,1,2,1,0,2,0.6666666666666666,0,3.0,497.125,1.0,0,train
475,M,Célibataire,Consulting,Consultant,Oui,Transformation Digitale,Y,Occasionnel,29,4723,1,80,10,10,9,2,3,1,1,4,3,3,0.18,0,3,1,3,1,1,5,0.8181818181818182,0,2.5,429.3636363636364,5.0,0,train
